City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
326,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
327,Ahuimanu,US,82.11,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
328,Phangnga,TH,78.84,light rain,8.4509,98.5298,Sunimit Mansion
332,Loreto,MX,80.38,scattered clouds,22.2667,-101.9667,José de Jesús Velásquez mora
334,Vila Velha,BR,78.94,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
337,Eyl,SO,77.5,clear sky,7.9803,49.8164,Amiin Hotel
342,Bucerias,MX,76.98,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
348,Cabo San Lucas,MX,83.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
353,Vao,NC,77.9,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
354,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
357,Port-Gentil,GA,77.7,light rain,-0.7193,8.7815,Fengshui Residence
359,Tual,ID,82.18,moderate rain,-5.6667,132.75,Grand Vilia Hotel
363,Mareeba,AU,81.48,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
366,Kloulklubed,PW,79.3,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
371,Cordoba,AR,79.75,clear sky,-31.4135,-64.1811,Hotel Sussex
374,George Town,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
378,Sinnar,SD,81.54,clear sky,13.5691,33.5672,هجو الطاهر
379,Roebourne,AU,80.67,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
381,Phan Thiet,VN,76.39,broken clouds,10.9333,108.1,Hotel Saigon-PT
382,Lazaro Cardenas,MX,82.49,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
386,Pilar,BR,76.93,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
387,Nabire,ID,77.63,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
389,Kavaratti,IN,83.55,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
395,Zemio,CF,75.88,broken clouds,5.0314,25.1361,OCHA Office
397,Warri,NG,79.39,scattered clouds,5.5167,5.75,BON Hotel Delta
408,Miri,MY,75.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
421,Xique-Xique,BR,82.17,scattered clouds,-10.8218,-42.7263,Hotel J. Macedo
423,Voh,NC,82.83,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
428,Lake Charles,US,77.22,broken clouds,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
