City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Bengkulu,ID,-3.8004,102.2655,74.1,79,34,6.67,scattered clouds
151,Alofi,NU,-19.0595,-169.9187,75.09,100,100,8.05,light rain
152,Cidreira,BR,-30.1811,-50.2056,70.05,80,0,9.42,clear sky
153,Navrongo,GH,10.8956,-1.0921,88.72,11,16,8.55,few clouds
154,Yellowknife,CA,62.456,-114.3525,23.41,67,40,5.99,scattered clouds
155,Cayenne,GF,4.9333,-52.3333,81.09,1,100,9.22,overcast clouds
156,Palmeira Das Missoes,BR,-27.8994,-53.3136,64.6,72,2,6.46,clear sky
157,Puerto Baquerizo Moreno,EC,-0.9,-89.6,79.7,80,99,11.45,overcast clouds
158,Dong Hoi,VN,17.4833,106.6,68.54,85,95,5.32,overcast clouds
159,Kapuskasing,CA,49.4169,-82.4331,19.49,38,0,13.8,clear sky
160,Anadyr,RU,64.75,177.4833,-7.1,77,0,6.71,clear sky
161,Bridlington,GB,54.0831,-0.1919,45.28,96,95,4.0,overcast clouds
162,Eureka,US,40.8021,-124.1637,64.74,80,88,5.99,overcast clouds
163,Sola,VU,-13.8833,167.55,82.33,76,100,9.19,overcast clouds
164,Vysokogornyy,RU,50.1167,139.15,27.77,85,61,3.65,broken clouds
165,Ugoofaaru,MV,5.6667,73.0,82.15,72,0,3.33,clear sky
166,Mingguang,CN,32.7802,117.9638,47.21,86,0,11.5,clear sky
167,Udachnyy,RU,66.4167,112.4,2.44,84,99,13.33,overcast clouds
168,Falun,SE,60.6036,15.626,32.95,61,61,10.85,broken clouds
169,Severo-Kurilsk,RU,50.6789,156.125,28.18,83,100,40.62,light snow
170,Kaitangata,NZ,-46.2817,169.8464,61.61,78,98,3.4,overcast clouds
171,Noumea,NC,-22.2763,166.4572,85.98,99,69,6.08,broken clouds
172,Te Anau,NZ,-45.4167,167.7167,61.9,67,90,0.54,overcast clouds
173,Malakal,SS,9.5334,31.6605,82.94,14,60,5.06,broken clouds
174,Bambanglipuro,ID,-7.95,110.2833,76.64,86,100,3.38,overcast clouds
175,Atuona,PF,-9.8,-139.0333,79.66,76,98,15.41,overcast clouds
176,Talaya,RU,61.3833,152.75,6.82,85,100,9.42,overcast clouds
177,Santa Cruz,BO,-17.8,-63.1667,82.45,69,20,6.91,few clouds
178,Havoysund,NO,70.9963,24.6622,30.43,66,100,27.0,light snow
179,Bondoukou,CI,8.0333,-2.8,83.46,36,50,2.24,scattered clouds
180,Varhaug,NO,58.6147,5.6457,38.75,69,100,19.22,overcast clouds
181,Harper,LR,4.375,-7.7169,80.19,88,78,5.93,broken clouds
182,Caravelas,BR,-17.7125,-39.2481,78.64,82,59,6.71,broken clouds
183,Tegucigalpa,HN,14.0818,-87.2068,81.36,44,20,10.36,few clouds
184,Visavadar,IN,21.3833,70.6833,78.82,44,1,5.48,clear sky
185,Port Blair,IN,11.6667,92.75,77.04,100,20,2.3,mist
186,Touros,BR,-5.1989,-35.4608,80.65,78,100,11.16,overcast clouds
187,College,US,64.8569,-147.8028,42.75,39,75,8.05,broken clouds
188,Isangel,VU,-19.55,169.2667,83.88,72,72,9.69,broken clouds
189,Helong,CN,42.5397,128.9972,38.39,60,100,6.04,overcast clouds
190,Qarqin,AF,37.4185,66.0436,58.37,36,0,17.07,clear sky
191,Okha,RU,53.5739,142.9478,18.39,85,37,6.51,scattered clouds
192,Carbonear,CA,47.7332,-53.2148,41.14,94,82,5.37,broken clouds
193,Katangli,RU,51.7102,143.2326,25.25,86,8,12.82,clear sky
194,De-Kastri,RU,51.4667,140.7833,31.03,70,11,4.05,few clouds
195,Maniitsoq,GL,65.4167,-52.9,23.14,78,3,3.87,clear sky
196,Svetlyy,RU,54.675,20.1347,42.85,87,46,17.98,scattered clouds
197,Polyarnyy,RU,69.1989,33.4478,23.52,74,100,11.36,light snow
198,Zabol,AF,32.25,67.25,54.82,23,0,7.87,clear sky
199,Cherskiy,RU,68.75,161.3,-0.56,87,37,4.34,scattered clouds
200,Mnogovershinnyy,RU,53.9353,139.9242,22.32,74,18,5.1,few clouds
201,Shubarkuduk,KZ,49.1447,56.4872,21.33,94,76,13.67,broken clouds
202,Qaanaaq,GL,77.484,-69.3632,7.99,94,100,0.98,overcast clouds
203,Ornskoldsvik,SE,63.2909,18.7153,20.35,79,100,5.75,overcast clouds
204,Dunmore East,IE,52.1514,-6.9861,49.68,75,13,7.31,few clouds
205,Bismarck,US,46.8083,-100.7837,54.46,31,0,23.02,clear sky
206,Klaksvik,FO,62.2266,-6.589,34.72,76,100,16.53,overcast clouds
207,Chifeng,CN,42.2683,118.9636,44.37,64,99,12.12,overcast clouds
208,Ostrovnoy,RU,68.0531,39.5131,21.7,87,100,18.12,light snow
209,Douentza,ML,14.9951,-2.9517,83.61,8,17,5.08,few clouds
210,Kayerkan,RU,69.3497,87.7602,8.53,78,99,9.46,overcast clouds
211,Chengdu,CN,30.6667,104.0667,58.89,82,94,2.24,mist
212,Bulungu,CD,-4.55,18.6,70.38,98,73,4.38,moderate rain
213,Thinadhoo,MV,0.5333,72.9333,81.12,64,3,4.36,clear sky
214,Sungaipenuh,ID,-2.0833,101.3833,62.78,87,38,2.75,scattered clouds
215,Faanui,PF,-16.4833,-151.75,82.62,73,40,14.05,scattered clouds
216,Bethel,US,41.3712,-73.414,26.02,44,100,11.01,overcast clouds
217,Buala,SB,-8.145,159.5921,83.73,77,100,5.19,light rain
218,Columbus,US,39.9612,-82.9988,34.32,40,40,12.66,scattered clouds
219,Port Hardy,CA,50.6996,-127.4199,50.18,81,20,5.75,few clouds
220,Nizhniy Tsasuchey,RU,50.5167,115.1333,15.94,56,0,10.94,clear sky
221,Yumen,CN,40.2833,97.2,36.95,47,78,5.48,broken clouds
222,Esterhazy,CA,50.65,-102.0843,40.05,79,100,14.38,overcast clouds
223,Solhan,TR,38.9634,41.0293,20.57,77,4,4.29,clear sky
224,Mahanje,TZ,-9.9333,35.3333,63.93,98,61,0.89,light rain
225,Daloa,CI,6.8774,-6.4502,76.1,78,100,4.05,overcast clouds
226,Camacha,PT,33.0833,-16.3333,58.42,88,40,6.91,scattered clouds
227,Narsaq,GL,60.9167,-46.05,43.02,77,37,8.01,scattered clouds
228,Soderhamn,SE,61.3037,17.0592,26.96,88,100,5.55,light snow
229,Deputatskiy,RU,69.3,139.9,-8.54,98,67,1.54,broken clouds
230,Sechura,PE,-5.5569,-80.8222,77.79,64,100,16.49,overcast clouds
231,Kavieng,PG,-2.5744,150.7967,81.66,77,98,2.44,moderate rain
232,Vila,PT,42.0304,-8.1588,49.08,75,75,3.22,broken clouds
233,Altagracia De Orituco,VE,9.8601,-66.3814,78.73,67,99,7.7,overcast clouds
234,Baykit,RU,61.67,96.37,-8.28,100,69,1.92,broken clouds
235,Saint-Georges,GD,12.0564,-61.7485,80.28,78,20,11.5,few clouds
236,Beatrice,US,40.2681,-96.747,56.44,33,0,12.66,clear sky
237,Saint George,US,37.1041,-113.5841,73.63,25,81,18.99,broken clouds
238,Batagay-Alyta,RU,67.8006,130.4114,-5.3,82,69,4.03,broken clouds
239,Dunedin,NZ,-45.8742,170.5036,58.69,87,100,2.17,overcast clouds
240,Jaumave,MX,23.4167,-99.3833,83.75,30,28,6.29,scattered clouds
241,Avallon,FR,47.4833,3.9,53.24,58,100,4.23,overcast clouds
242,Ville-Marie,CA,47.3335,-79.433,15.76,84,100,8.84,overcast clouds
243,Ostersund,SE,63.1792,14.6357,21.65,86,75,4.61,broken clouds
244,Komsomolskiy,UZ,40.4272,71.7189,50.72,71,100,2.3,overcast clouds
245,Chunskiy,RU,56.0815,99.6342,10.27,98,100,0.78,overcast clouds
246,Meulaboh,ID,4.1363,96.1285,76.46,87,20,3.27,few clouds
247,Chuy,UY,-33.6971,-53.4616,64.83,76,5,10.09,light rain
248,Murray Bridge,AU,-35.1167,139.2667,65.12,70,0,5.73,clear sky
249,Sheopur,IN,25.6667,76.7,79.03,15,2,1.66,clear sky
250,Teacapan,MX,22.55,-105.75,78.13,42,21,9.26,few clouds
251,Marsh Harbour,BS,26.5412,-77.0636,74.91,59,79,8.55,broken clouds
252,Chengde,CN,40.9725,117.9361,42.12,59,100,1.59,overcast clouds
253,Kinablangan,PH,7.6947,126.5503,78.35,86,27,2.51,scattered clouds
254,Reyes,BO,-14.3167,-67.3833,77.23,84,96,2.42,overcast clouds
255,San Cristobal,VE,7.7669,-72.225,73.58,63,88,2.04,overcast clouds
256,Faya,SA,18.3851,42.4509,54.12,36,1,3.31,clear sky
257,Kangaatsiaq,GL,68.3065,-53.4641,16.75,93,8,5.99,clear sky
258,Bonthe,SL,7.5264,-12.505,76.68,76,62,4.23,broken clouds
259,Tuatapere,NZ,-46.1333,167.6833,64.13,66,97,1.57,overcast clouds
260,Wanning,CN,18.8003,110.3967,73.92,90,94,7.05,overcast clouds
261,Palmer,US,42.1584,-72.3287,24.35,40,75,18.41,broken clouds
262,Paita,PE,-5.0892,-81.1144,73.96,78,100,12.62,overcast clouds
263,New Norfolk,AU,-42.7826,147.0587,63.91,70,60,2.53,broken clouds
264,Gannavaram,IN,16.5333,80.8,76.87,93,12,1.23,few clouds
265,Bathsheba,BB,13.2167,-59.5167,77.61,73,20,14.97,few clouds
266,Villazon,BO,-22.0866,-65.5942,60.96,18,1,9.4,clear sky
267,Hithadhoo,MV,-0.6,73.0833,81.25,65,64,6.49,broken clouds
268,Russkaya Polyana,UA,49.417,31.9201,46.71,47,43,18.52,scattered clouds
269,Saint-Francois,FR,46.4154,3.9054,54.84,45,0,8.05,clear sky
270,Esperance,AU,-33.8667,121.9,63.07,77,99,11.21,overcast clouds
271,High Level,CA,58.5169,-117.136,39.31,48,20,6.91,few clouds
272,Hay River,CA,60.8156,-115.7999,13.98,79,75,8.05,broken clouds
273,Lugo,ES,43.0,-7.5,53.91,93,100,0.54,overcast clouds
274,Boulder,US,40.0833,-105.3505,70.63,13,0,11.5,clear sky
275,Dingle,PH,10.9995,122.6711,79.47,84,100,9.6,overcast clouds
276,Prince Rupert,CA,54.3161,-130.3201,50.09,57,0,5.75,clear sky
277,Conceicao Do Araguaia,BR,-8.2578,-49.2647,75.47,93,86,4.45,moderate rain
278,Gopalur,IN,16.6167,77.8,81.57,51,11,4.0,few clouds
279,George,ZA,-33.963,22.4617,58.55,88,20,5.75,few clouds
280,Manzhouli,CN,49.6,117.4333,16.41,54,0,12.08,clear sky
281,Carutapera,BR,-1.195,-46.02,75.88,95,100,6.64,light rain
282,Ayan,RU,56.45,138.1667,14.18,79,52,2.73,broken clouds
283,Acapulco,MX,16.8634,-99.8901,84.02,65,0,8.05,smoke
284,Merauke,ID,-8.4667,140.3333,76.78,93,100,14.18,heavy intensity rain
285,Prince George,CA,53.9166,-122.753,52.25,28,0,12.66,clear sky
286,Ponta Do Sol,PT,32.6667,-17.1,66.06,78,46,6.29,scattered clouds
287,Porto Uniao,BR,-26.2381,-51.0783,67.39,70,24,2.26,few clouds
288,Yulara,AU,-25.2406,130.9889,73.24,23,17,10.36,few clouds
289,Alcudia,ES,39.8532,3.1214,58.19,85,100,6.78,overcast clouds
290,Belyy Yar,RU,53.6039,91.3903,21.09,77,98,0.0,mist
291,Trincomalee,LK,8.5711,81.2335,79.21,83,4,7.38,clear sky
292,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.31,87,25,7.85,scattered clouds
293,Jieznas,LT,54.6,24.1667,40.59,82,95,15.03,overcast clouds
294,Novaci,RO,45.1833,23.6667,44.69,61,87,4.47,overcast clouds
295,Rovaniemi,FI,66.5,25.7167,13.41,85,0,10.36,clear sky
296,Lucapa,AO,-8.4192,20.7447,67.41,97,91,0.98,moderate rain
297,Krasnovishersk,RU,60.4078,57.082,17.19,94,100,4.54,overcast clouds
298,Sharjah,AE,25.3573,55.4033,67.98,72,0,6.91,clear sky
299,Codrington,AU,-38.2667,141.9667,61.3,65,94,5.21,overcast clouds
300,Mayakonda,IN,14.2833,76.0833,74.62,83,34,6.73,scattered clouds
301,Sibolga,ID,1.7427,98.7792,74.12,74,9,3.18,clear sky
302,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,86,25,6.73,scattered clouds
303,Cambrils,ES,41.0748,1.0524,55.72,60,0,3.44,clear sky
304,Skjervoy,NO,70.0311,20.9714,26.6,60,100,26.44,light snow
305,Kirakira,SB,-10.4544,161.9205,83.14,81,99,4.07,overcast clouds
306,Ahipara,NZ,-35.1667,173.1667,71.62,62,2,7.23,clear sky
307,Idanre,NG,7.1127,5.1159,76.69,89,16,4.7,few clouds
308,Pemberton,CA,50.3164,-122.8027,58.69,97,96,1.63,overcast clouds
309,Inirida,CO,3.8653,-67.9239,72.64,99,100,2.04,moderate rain
